Hash,Time,Amount BTC,Amount USD
06e493ac8d729337548c63be45c538c1bbb8a878b0c5c21edc282f1124b7b9cc,19:13,0.00050186,$30.66
c8ca2d16be91a789327a59db305ec8bfac7af77718b60359eb416fcf0fdaf75a,19:13,0.00046633,$28.49
67011a5a04c3661de968b01c8d82ccec0f6505285b9c728e44fefb4408419ec0,19:13,0.00013317,$8.14



7d704c341137638499672b0f96cb3f8c96e4b5535b2ff628eda9aa1d989cc77a,19:14,0.00391906,$239.45
a4e0e5bfdc7cbea695d334278052df167da063f33df7df2cc04732de3d99b9a1,19:14,0.00382769,$233.86
d6b427e2c7beac2a28d6e3b8796304e38a645638f79f58128241cf2eb55cc328,19:14,0.00337544,$206.23
f6aabc59434a2a8a04ddeceb47158d734c207a5e483729929b9d1f281335f4cf,19:14,0.00315687,$192.88
680eed7493116303017a9873a25567ccecc9330d5f2130793117a98ed90edc2e,19:14,0.00292366,$178.63
d3a68f17ca875f5d4252d8c8697fc3fc289cfade8a6addfc65f5d564e80cc808,19:14,0.00183390,$112.05
d05bad55f967dade1a8421753f7743a9fd04d5b28a3373e368a8692649c266d8,19:14,0.00080000,$48.88
8ccd05b41b77ac7896bb948dda6277bfa1b3f07811ce8dd995ed39966aa87e81,19:14,0.00074232,$45.35
1ea955ddc3d7e9c18771d04522a57fcb18e980bdc125ab5c9330b510f8b1fc14,19:14,0.00022132,$13.52
9e3d7971efb37fb162e36ee18161e30502be8784d84a0940d883b0b80e54ddea,19:14,0.00018460,$11.28



3b9653772064fe73cfa190ab6fb998812336f65c03172f81774ac8a2d22e36c9,19:18,0.00117946,$72.15
86bfc5b04aebf94841ac59eeee78a893cd07b1acca4580e0ee6cacf1a5a77f09,19:18,0.00090970,$55.65
79456d0a76db1e38d7db661088b81bffa4d3c4502a54e3540a451af95699a229,19:18,0.00087555,$53.56
d90d1f8260f57f52ccad631cae3debc74db3dab6b2a0537908a8c99eb2ae4a4e,19:18,0.00067496,$41.29
d2f53180d97fdc1ee35309f84cced2bab004e846bd3238a91423361ba9aebd54,19:18,0.00066905,$40.93
e48c959a245ada2e49156f6dc4295a897dcc440402333f2a47ef8c3bbcf0385e,19:18,0.00040290,$24.65
b6077f6d982d79ad61849ba6e88527d8d75d3d17cd90e485e2592531aa754052,19:18,0.00018256,$11.17
5ed41c4e7529b2e0d38b4b901408cb1d7e49437bb722d8d750e58054909e0307,19:18,0.00017238,$10.54
9bdd029953539aedd7982358e4f78e278718d7a9d133d7f96191bbc838b586d8,19:18,0.00014713,$9.00
01822c315cd2abd3d9743c9b14b7de7c9b42f08e4611bb68c6ebe8d6ba227783,19:18,0.00012329,$7.54



1eb5bcdfe134838c4fb5dfb1329392445f422bad7cae607fdbd9117cf470878b,19:19,0.00090644,$55.53
e3bb272b8bbc91abf1c5095fc50314d1dafca35af2f2734641b0d80749a4faca,19:19,0.00085318,$52.27
e9863a30fd21cdb474226d6fe8abd28182bf6a374079bba8c969be97f2aae072,19:19,0.00073109,$44.79
bc9ac54d24466bac85b3504d190ab4165a438574f277215a9c5ebfbb0db52e9c,19:19,0.00072991,$44.72
fd14ae988aac5f8b0507a9bf563f52b430a8c2eeadcb50f62fe90766d68ff3f8,19:19,0.00054539,$33.41
e96a89990bcd0d4e2ec02312bd82c38e48ac7bbc4cecf4c6a5ae05fe25bfc256,19:19,0.00031862,$19.52
8ec66612d28eeb52077be309b656966ce6efa80e03e4fa6ba151f0dc33a52ba6,19:19,0.00025273,$15.48
15bee7fdb8f08d1acd9bc93808fefddc65ddb0506916bbacacab72ecb68f6652,19:19,0.00016537,$10.13
d9eb67bdfdf0730886d88d68f81d34bb20f41e14d1a4d1794e95dd572ee3fbf3,19:19,0.00011909,$7.30
b9cf22622a9dc6dcb966d7b5eed7645ea44c065836e90b3d6ca14188298481e3,19:19,0.00008859,$5.43



cfcf6dd554c483bb87e809497493da12b3bfb99e899088477850c928b8ae7e59,19:20,0.00101312,$62.07
262d3326276038a062123083a7f99a3ee7088b7a1867f34cd3a4b1c6a75a3378,19:20,0.00089523,$54.85
421f76ad9d4a33133e1364d204a517563cf5b21b2a7a25959b91b3dabfe204c2,19:20,0.00060528,$37.08
9f65addd065f9cec18e49a7e59736c7116260173a5663df7e5821c7fc5687166,19:20,0.00054094,$33.14
ae4c07c856e14638bf86adb6cb990301ae04a88ad2219b290b9d2fde3236fc5c,19:20,0.00046388,$28.42
496edee4fdc448be1d1eb43534a7b43cd0ce74a755adab9b278764333d0c0021,19:20,0.00046262,$28.34
517607845a01240a2f959b9aa9867584d0aea566ece5898f2a83583e838819f7,19:20,0.00019000,$11.64
02334ead68a93e28ec67b076196b1a3c5a1798d2d8af2f713538f2866437b8c8,19:20,0.00017848,$10.93
9173f62b4a6e5c096f2cee0d509c60038d6e06818ca0e3c7c54e3951d1a564b2,19:20,0.00011782,$7.22
0d11023a63f2b7a05bd48eaa37747f000a158d92bc183899852b9e398dcb3a31,19:20,0.00009448,$5.79



cfcf6dd554c483bb87e809497493da12b3bfb99e899088477850c928b8ae7e59,19:20,0.00101312,$62.07
262d3326276038a062123083a7f99a3ee7088b7a1867f34cd3a4b1c6a75a3378,19:20,0.00089523,$54.85
421f76ad9d4a33133e1364d204a517563cf5b21b2a7a25959b91b3dabfe204c2,19:20,0.00060528,$37.08
9f65addd065f9cec18e49a7e59736c7116260173a5663df7e5821c7fc5687166,19:20,0.00054094,$33.14
ae4c07c856e14638bf86adb6cb990301ae04a88ad2219b290b9d2fde3236fc5c,19:20,0.00046388,$28.42
496edee4fdc448be1d1eb43534a7b43cd0ce74a755adab9b278764333d0c0021,19:20,0.00046262,$28.34
517607845a01240a2f959b9aa9867584d0aea566ece5898f2a83583e838819f7,19:20,0.00019000,$11.64
02334ead68a93e28ec67b076196b1a3c5a1798d2d8af2f713538f2866437b8c8,19:20,0.00017848,$10.93
9173f62b4a6e5c096f2cee0d509c60038d6e06818ca0e3c7c54e3951d1a564b2,19:20,0.00011782,$7.22
0d11023a63f2b7a05bd48eaa37747f000a158d92bc183899852b9e398dcb3a31,19:20,0.00009448,$5.79
